starttime	seconds	ctime	dtime	ttime	wait
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:24 2017	1494364104	1	28	29	28
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	30	29
Tue May 09 23:08:25 2017	1494364105	0	30	30	29
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	29	30	29
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:24 2017	1494364104	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	29
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:24 2017	1494364104	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:24 2017	1494364104	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:24 2017	1494364104	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	30	30
Tue May 09 23:08:25 2017	1494364105	0	30	31	30
Tue May 09 23:08:25 2017	1494364105	0	30	31	30
Tue May 09 23:08:25 2017	1494364105	0	30	31	30
Tue May 09 23:08:25 2017	1494364105	0	31	31	30
Tue May 09 23:08:25 2017	1494364105	0	30	31	30
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
Tue May 09 23:08:24 2017	1494364104	1	30	31	30
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
Tue May 09 23:08:25 2017	1494364105	0	31	31	30
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
Tue May 09 23:08:25 2017	1494364105	0	31	31	30
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
Tue May 09 23:08:25 2017	1494364105	0	31	31	31
